date,surface,10 cm,20 cm,30 cm,46 cm
22-Apr-07,8.610526316,9999,5.915263158,4.195789474,2.728947368
23-Apr-07,2.334583333,9999,2.305,2.104583333,1.996458333
24-Apr-07,6.105,9999,3.945833333,3.058333333,2.367916667
25-Apr-07,8.794375,9999,5.692708333,4.515,3.359791667
26-Apr-07,9.68375,9999,7.661875,6.456666667,5.0825
27-Apr-07,9.0675,9999,7.38875,6.452083333,5.477708333
28-Apr-07,4.587708333,9999,5.953333333,5.834375,5.544791667
29-Apr-07,7.753333333,9999,5.406666667,4.696875,4.3725
30-Apr-07,11.80041667,9999,8.374166667,7.022083333,5.62875
01-May-07,12.624375,9999,9.644583333,8.376458333,6.989375
02-May-07,13.62875,9999,11.014375,9.705833333,8.149375
03-May-07,13.84125,9999,11.5325,10.35479167,8.977083333
04-May-07,10.95291667,9999,11.08916667,10.46729167,9.525208333
05-May-07,13.738125,9999,10.73875,9.754791667,8.922708333
06-May-07,9.457916667,9999,10.48854167,10.144375,9.5375
07-May-07,5.9225,9999,7.266041667,7.476875,7.925833333
08-May-07,3.168333333,9999,5.030625,5.401666667,6.179791667
09-May-07,7.153333333,9999,5.443125,4.981875,5.159583333
10-May-07,7.8625,9999,6.896875,6.344375,6.000208333
11-May-07,12.43270833,9999,9.000625,7.800625,6.765833333
12-May-07,11.92666667,9999,10.60395833,9.665208333,8.517916667
13-May-07,8.283958333,9999,8.880625,8.639583333,8.391041667
14-May-07,11.19291667,9999,8.813541667,8.052291667,7.611666667
15-May-07,10.06875,9999,10.03916667,9.44875,8.71125
16-May-07,7.6225,9999,7.426875,7.38125,7.641875
17-May-07,9.060208333,9999,8.087708333,7.542708333,7.291458333
18-May-07,10.52083333,9999,8.734791667,8.028541667,7.533125
19-May-07,13.61583333,9999,10.71,9.580833333,8.542083333
20-May-07,10.39104167,9999,10.94,10.47354167,9.777708333
21-May-07,11.05333333,9999,9.786666667,9.305416667,9.013333333
22-May-07,10.988125,9999,9.756666667,9.274791667,8.922708333
23-May-07,14.14479167,9999,11.20895833,10.07916667,9.211458333
24-May-07,16.86916667,9999,13.45541667,12.085,10.72666667
25-May-07,19.885625,9999,15.86,14.25208333,12.43145833
26-May-07,23.728125,9999,18.626875,16.675,14.35854167
27-May-07,15.93416667,9999,17.66479167,17.211875,15.91791667
28-May-07,14.67791667,9999,13.59895833,13.25854167,13.27895833
29-May-07,18.045625,9999,15.50708333,14.535,13.595
30-May-07,18.35916667,9999,17.043125,16.03791667,14.77020833
31-May-07,19.18625,9999,16.44666667,15.50041667,14.62458333
01-Jun-07,22.77854167,9999,18.33666667,16.88270833,15.41104167
02-Jun-07,24.15229167,9999,20.680625,19.10895833,17.12625
03-Jun-07,23.88041667,9999,21.04583333,19.68270833,18.0325
04-Jun-07,12.95729167,9999,17.406875,17.91270833,17.85791667
05-Jun-07,16.359375,9999,14.66458333,14.37833333,14.698125
06-Jun-07,17.49354167,9999,15.77583333,15.18833333,14.77729167
07-Jun-07,15.63645833,9999,15.99729167,15.661875,15.27083333
08-Jun-07,14.50125,9999,14.49979167,14.33145833,14.35104167
09-Jun-07,19.0625,9999,15.93208333,14.978125,14.27291667
10-Jun-07,21.42020833,9999,18.34270833,17.09333333,15.785
11-Jun-07,24.16958333,9999,20.35395833,18.90125,17.22625
12-Jun-07,26.48645833,9999,22.43979167,20.81458333,18.87625
13-Jun-07,26.31020833,9999,23.70770833,22.27,20.30104167
14-Jun-07,22.42770833,9999,22.19666667,21.58416667,20.57520833
15-Jun-07,22.85041667,9999,21.10375,20.36291667,19.62104167
16-Jun-07,22.36895833,9999,21.19729167,20.48,19.71458333
17-Jun-07,20.71479167,9999,20.43645833,19.99020833,19.46375
18-Jun-07,18.99270833,9999,19.17270833,18.98604167,18.78875
19-Jun-07,17.57104167,9999,18.21666667,18.17145833,18.1575
20-Jun-07,16.41041667,9999,16.90041667,16.91916667,17.17
21-Jun-07,20.62208333,9999,17.85166667,17.061875,16.69791667
