date,surface,10 cm,20 cm,30 cm,46 cm,,,15-Sep-07,15-Sep-08,15-Sep-09,15-Sep-10,15-Sep-11,15-Sep-12,15-Sep-13,15-Sep-14,15-Sep-15,15-Sep-16
15-Sep-07,5.348541667,9999,7.494166667,8.020416667,9.116041667,,0,5.348541667,6.92875,15.105,5.211875,13.52625,7.227395833,13.2986875,5.343645833,9.312791667,4.046854167
15-Sep-08,6.92875,9999,8.359166667,8.808958333,9999,,10,,,,6.7675,,7.730208333,13.59170833,6.778520833,9.756208333,5.011416667
15-Sep-09,15.105,9999,16.66958333,16.67208333,15.690625,,20,7.494166667,8.359166667,16.66958333,8.761666667,12.85354167,7.877270833,13.493,8.029666667,10.120125,6.219895833
15-Sep-10,5.211875,6.7675,8.761666667,10.095625,10.7575,,30,8.020416667,8.808958333,16.67208333,10.095625,12.54416667,8.954729167,13.3233125,8.862520833,10.89839583,7.729125
15-Sep-11,13.52625,9999,12.85354167,12.54416667,11.51833333,,46,9.116041667,,15.690625,10.7575,11.51833333,9.496125,13.126125,9.010729167,10.97185417,8.081
15-Sep-12,7.227395833,7.730208333,7.877270833,8.954729167,9.496125,,,,,,,,,,,,
15-Sep-13,13.2986875,13.59170833,13.493,13.3233125,13.126125,,,,,,,,,,,,
15-Sep-14,5.343645833,6.778520833,8.029666667,8.862520833,9.010729167,,,,,,,,,,,,
15-Sep-15,9.312791667,9.756208333,10.120125,10.89839583,10.97185417,,,,,,,,,,,,
15-Sep-16,4.046854167,5.011416667,6.219895833,7.729125,8.081,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
date,surface,10 cm,20 cm,30 cm,46 cm,,,01-Oct-07,01-Oct-08,01-Oct-09,01-Oct-10,01-Oct-11,01-Oct-12,01-Oct-13,01-Oct-14,01-Oct-15,01-Oct-16
01-Oct-07,9999,9999,9999,9999,9999,,0,,,,,4.800625,7.896,6.033510638,2.2140625,8.475104167,2.639666667
01-Oct-08,9999,9999,9999,9999,9999,,10,,,,,,9.2233125,6.983638298,3.757083333,8.876541667,3.5028125
01-Oct-09,9999,9999,9999,9999,9999,,20,,,,,5.9,9.33275,7.675851064,5.344104167,9.114229167,4.312625
01-Oct-10,9999,9999,9999,9999,9999,,30,,,,,6.373958333,10.1679375,7.901659574,6.7748125,9.054958333,5.376458333
01-Oct-11,4.800625,9999,5.9,6.373958333,6.219375,,46,,,,,6.219375,10.46375,8.186148936,7.160791667,8.690354167,6.020479167
01-Oct-12,7.896,9.2233125,9.33275,10.1679375,10.46375,,,,,,,,,,,,
01-Oct-13,6.033510638,6.983638298,7.675851064,7.901659574,8.186148936,,,,,,,,,,,,
01-Oct-14,2.2140625,3.757083333,5.344104167,6.7748125,7.160791667,,,,,,,,,,,,
01-Oct-15,8.475104167,8.876541667,9.114229167,9.054958333,8.690354167,,,,,,,,,,,,
01-Oct-16,2.639666667,3.5028125,4.312625,5.376458333,6.020479167,,,,,,,,,,,,
