Station,Yellowknife A 1706,Landing Tower,Vital Tower
Latitude,62.46,62.5593,62.6042
Longitude,-114.44,-114.4117,-114.4475
2011-10-01 00:00:00,281.2737,280.80887,280.80887
2011-10-01 01:00:00,281.08264,280.4713,280.4713
2011-10-01 02:00:00,280.3609,279.76324,279.76324
2011-10-01 03:00:00,279.10126,278.51532,278.51532
2011-10-01 04:00:00,278.33398,277.88477,277.88477
2011-10-01 05:00:00,278.3883,278.0016,278.0016
2011-10-01 06:00:00,278.26166,277.55267,277.55267
2011-10-01 07:00:00,277.99213,277.30853,277.30853
2011-10-01 08:00:00,277.77185,277.03748,277.03748
2011-10-01 09:00:00,277.56732,276.7646,276.7646
2011-10-01 10:00:00,277.30707,276.42426,276.42426
2011-10-01 11:00:00,276.8841,275.99738,275.99738
2011-10-01 12:00:00,276.2771,275.4978,275.4978
2011-10-01 13:00:00,275.69165,275.0686,275.0686
2011-10-01 14:00:00,275.21088,274.88275,274.88275
2011-10-01 15:00:00,275.13675,274.8301,274.8301
2011-10-01 16:00:00,275.4236,275.033,275.033
2011-10-01 17:00:00,275.66876,275.3504,275.3504
2011-10-01 18:00:00,276.0917,275.64053,275.64053
2011-10-01 19:00:00,276.02478,275.77673,275.77673
2011-10-01 20:00:00,276.19153,275.95715,275.95715
2011-10-01 21:00:00,276.2511,276.06946,276.06946
2011-10-01 22:00:00,276.44647,276.23163,276.23163
2011-10-01 23:00:00,276.67328,276.5229,276.5229
2011-10-02 00:00:00,276.51645,276.25082,276.25082
2011-10-02 01:00:00,275.00842,274.50647,274.50647
2011-10-02 02:00:00,273.09457,272.44614,272.44614
2011-10-02 03:00:00,271.57632,270.77457,270.77457
2011-10-02 04:00:00,270.53906,269.66895,269.66895
2011-10-02 05:00:00,269.79236,268.8529,268.8529
2011-10-02 06:00:00,271.00415,270.094,270.094
2011-10-02 07:00:00,271.33615,270.40646,270.40646
2011-10-02 08:00:00,271.7511,270.87024,270.87024
2011-10-02 09:00:00,272.1303,271.21625,271.21625
2011-10-02 10:00:00,272.45602,271.5156,271.5156
2011-10-02 11:00:00,272.6806,271.7304,271.7304
2011-10-02 12:00:00,272.96503,271.81757,271.81757
2011-10-02 13:00:00,273.90128,272.27432,272.27432
2011-10-02 14:00:00,274.9879,273.5348,273.5348
2011-10-02 15:00:00,276.05328,275.12848,275.12848
2011-10-02 16:00:00,277.251,276.12894,276.12894
2011-10-02 17:00:00,278.2132,277.25128,277.25128
2011-10-02 18:00:00,279.11282,278.76712,278.76712
2011-10-02 19:00:00,279.36423,279.3076,279.3076
2011-10-02 20:00:00,279.6386,279.5429,279.5429
2011-10-02 21:00:00,279.64752,279.6729,279.6729
2011-10-02 22:00:00,279.50708,279.55396,279.55396
2011-10-02 23:00:00,279.20105,279.1776,279.1776
2011-10-03 00:00:00,278.5458,278.39542,278.39542
2011-10-03 01:00:00,276.86716,276.4609,276.4609
2011-10-03 02:00:00,275.5556,274.94623,274.94623
2011-10-03 03:00:00,275.04987,274.17877,274.17877
2011-10-03 04:00:00,275.08014,273.9688,273.9688
2011-10-03 05:00:00,275.36133,274.0088,274.0088
2011-10-03 06:00:00,273.44104,272.5172,272.5172
2011-10-03 07:00:00,273.4469,272.6383,272.6383
2011-10-03 08:00:00,273.10864,272.42896,272.42896
2011-10-03 09:00:00,272.14124,272.01038,272.01038
2011-10-03 10:00:00,271.0446,271.64224,271.64224
2011-10-03 11:00:00,270.4588,271.5467,271.5467
2011-10-03 12:00:00,271.35306,271.99564,271.99564
2011-10-03 13:00:00,272.537,272.97058,272.97058
2011-10-03 14:00:00,273.44434,273.15918,273.15918
2011-10-03 15:00:00,274.31653,273.41223,273.41223
2011-10-03 16:00:00,275.5299,274.61194,274.61194
2011-10-03 17:00:00,277.0412,276.18182,276.18182
2011-10-03 18:00:00,278.16248,277.28357,277.28357
2011-10-03 19:00:00,279.35522,278.64038,278.64038
2011-10-03 20:00:00,280.273,279.95465,279.95465
2011-10-03 21:00:00,280.8601,280.6648,280.6648
2011-10-03 22:00:00,281.06363,280.99918,280.99918
2011-10-03 23:00:00,281.05695,280.8753,280.8753
2011-10-04 00:00:00,280.67206,280.37518,280.37518
2011-10-04 01:00:00,279.64636,279.2069,279.2069
2011-10-04 02:00:00,278.9066,278.29916,278.29916
2011-10-04 03:00:00,278.62207,277.81152,277.81152
2011-10-04 04:00:00,278.60913,277.60327,277.60327
2011-10-04 05:00:00,278.63712,277.59415,277.59415
2011-10-04 06:00:00,277.60513,276.66568,276.66568
2011-10-04 07:00:00,277.43372,276.43372,276.43372
2011-10-04 08:00:00,277.16028,276.16028,276.16028
2011-10-04 09:00:00,276.90897,275.93826,275.93826
2011-10-04 10:00:00,276.93158,275.8769,275.8769
2011-10-04 11:00:00,277.25766,276.3143,276.3143
2011-10-04 12:00:00,277.42072,276.70197,276.70197
2011-10-04 13:00:00,277.82294,277.04755,277.04755
2011-10-04 14:00:00,278.22397,277.4935,277.4935
2011-10-04 15:00:00,278.60022,277.95374,277.95374
2011-10-04 16:00:00,278.97604,278.35104,278.35104
2011-10-04 17:00:00,279.4447,278.77283,278.77283
