Station,Yellowknife A 1706,Landing Tower,Vital Tower
Latitude,62.46,62.5593,62.6042
Longitude,-114.44,-114.4117,-114.4475
2011-10-01 00:00:00,8.1137085,7.6488647,7.6488647
2011-10-01 01:00:00,7.9226227,7.3112946,7.3112946
2011-10-01 02:00:00,7.200882,6.6032257,6.6032257
2011-10-01 03:00:00,5.941269,5.3553314,5.3553314
2011-10-01 04:00:00,5.1739655,4.7247467,4.7247467
2011-10-01 05:00:00,5.2283173,4.8415985,4.8415985
2011-10-01 06:00:00,5.1016693,4.392685,4.392685
2011-10-01 07:00:00,4.832123,4.148529,4.148529
2011-10-01 08:00:00,4.611862,3.8774872,3.8774872
2011-10-01 09:00:00,4.4073334,3.604599,3.604599
2011-10-01 10:00:00,4.147064,3.2642517,3.2642517
2011-10-01 11:00:00,3.7240906,2.8373718,2.8373718
2011-10-01 12:00:00,3.1171112,2.3378143,2.3378143
2011-10-01 13:00:00,2.5316315,1.9085846,1.9085846
2011-10-01 14:00:00,2.050888,1.7227631,1.7227631
2011-10-01 15:00:00,1.9767456,1.670105,1.670105
2011-10-01 16:00:00,2.2636108,1.8729858,1.8729858
2011-10-01 17:00:00,2.5087585,2.1903992,2.1903992
2011-10-01 18:00:00,2.9317017,2.4805298,2.4805298
2011-10-01 19:00:00,2.8647614,2.6167145,2.6167145
2011-10-01 20:00:00,3.03154,2.797165,2.797165
2011-10-01 21:00:00,3.0910797,2.909439,2.909439
2011-10-01 22:00:00,3.2864532,3.0716095,3.0716095
2011-10-01 23:00:00,3.5132904,3.3628998,3.3628998
2011-10-02 00:00:00,3.3564453,3.0908203,3.0908203
2011-10-02 01:00:00,1.8484039,1.3464508,1.3464508
2011-10-02 02:00:00,-0.06542969,-0.7138672,-0.7138672
2011-10-02 03:00:00,-1.5836792,-2.385437,-2.385437
2011-10-02 04:00:00,-2.6209412,-3.4910583,-3.4910583
2011-10-02 05:00:00,-3.36763,-4.307083,-4.307083
2011-10-02 06:00:00,-2.1558533,-3.0660095,-3.0660095
2011-10-02 07:00:00,-1.8238525,-2.75354,-2.75354
2011-10-02 08:00:00,-1.408905,-2.2897644,-2.2897644
2011-10-02 09:00:00,-1.0296783,-1.9437408,-1.9437408
2011-10-02 10:00:00,-0.7039795,-1.6444092,-1.6444092
2011-10-02 11:00:00,-0.4794159,-1.4296112,-1.4296112
2011-10-02 12:00:00,-0.19496155,-1.3424225,-1.3424225
2011-10-02 13:00:00,0.741272,-0.88568115,-0.88568115
2011-10-02 14:00:00,1.8278961,0.37477112,0.37477112
2011-10-02 15:00:00,2.8932953,1.9684906,1.9684906
2011-10-02 16:00:00,4.0910034,2.968933,2.968933
2011-10-02 17:00:00,5.053177,4.091263,4.091263
2011-10-02 18:00:00,5.95282,5.6071167,5.6071167
2011-10-02 19:00:00,6.2042236,6.147583,6.147583
2011-10-02 20:00:00,6.478592,6.382889,6.382889
2011-10-02 21:00:00,6.4875183,6.512909,6.512909
2011-10-02 22:00:00,6.3470917,6.3939667,6.3939667
2011-10-02 23:00:00,6.041046,6.0176086,6.0176086
2011-10-03 00:00:00,5.385803,5.2354126,5.2354126
2011-10-03 01:00:00,3.7071533,3.3009033,3.3009033
2011-10-03 02:00:00,2.3955994,1.7862244,1.7862244
2011-10-03 03:00:00,1.8898773,1.0187836,1.0187836
2011-10-03 04:00:00,1.9201355,0.8088074,0.8088074
2011-10-03 05:00:00,2.2013245,0.8487854,0.8487854
2011-10-03 06:00:00,0.28103638,-0.64279175,-0.64279175
2011-10-03 07:00:00,0.2868805,-0.52171326,-0.52171326
2011-10-03 08:00:00,-0.051376343,-0.73106384,-0.73106384
2011-10-03 09:00:00,-1.0187683,-1.1496277,-1.1496277
2011-10-03 10:00:00,-2.1154175,-1.5177612,-1.5177612
2011-10-03 11:00:00,-2.7012024,-1.6133118,-1.6133118
2011-10-03 12:00:00,-1.8069458,-1.1643677,-1.1643677
2011-10-03 13:00:00,-0.6230316,-0.18943787,-0.18943787
2011-10-03 14:00:00,0.28434753,-0.0008087158,-0.0008087158
2011-10-03 15:00:00,1.1565247,0.25222778,0.25222778
2011-10-03 16:00:00,2.3699036,1.4519348,1.4519348
2011-10-03 17:00:00,3.8811798,3.0218048,3.0218048
2011-10-03 18:00:00,5.0024567,4.1235504,4.1235504
2011-10-03 19:00:00,6.195236,5.4803925,5.4803925
2011-10-03 20:00:00,7.1130066,6.794647,6.794647
2011-10-03 21:00:00,7.7001038,7.5047913,7.5047913
2011-10-03 22:00:00,7.9036255,7.8391724,7.8391724
2011-10-03 23:00:00,7.896942,7.7153015,7.7153015
2011-10-04 00:00:00,7.5120544,7.2151794,7.2151794
2011-10-04 01:00:00,6.486374,6.046921,6.046921
2011-10-04 02:00:00,5.746582,5.13916,5.13916
2011-10-04 03:00:00,5.462082,4.651535,4.651535
2011-10-04 04:00:00,5.449127,4.443268,4.443268
2011-10-04 05:00:00,5.477112,4.434143,4.434143
2011-10-04 06:00:00,4.4451294,3.5056763,3.5056763
2011-10-04 07:00:00,4.273697,3.273697,3.273697
2011-10-04 08:00:00,4.0002747,3.0002747,3.0002747
2011-10-04 09:00:00,3.7489624,2.7782593,2.7782593
