 ID,PARAM,Date,Value,SYM
07SB013,1,1983-01-01,0,E
07SB013,1,1983-01-02,0,E
07SB013,1,1983-01-03,0,E
07SB013,1,1983-01-04,0,E
07SB013,1,1983-01-05,0,E
07SB013,1,1983-01-06,0,E
07SB013,1,1983-01-07,0,E
07SB013,1,1983-01-08,0,E
07SB013,1,1983-01-09,0,E
07SB013,1,1983-01-10,0,E
07SB013,1,1983-01-11,0,E
07SB013,1,1983-01-12,0,E
07SB013,1,1983-01-13,0,E
07SB013,1,1983-01-14,0,E
07SB013,1,1983-01-15,0,E
07SB013,1,1983-01-16,0,E
07SB013,1,1983-01-17,0,E
07SB013,1,1983-01-18,0,E
07SB013,1,1983-01-19,0,E
07SB013,1,1983-01-20,0,E
07SB013,1,1983-01-21,0.001,E
07SB013,1,1983-01-22,0.001,E
07SB013,1,1983-01-23,0.001,E
07SB013,1,1983-01-24,0.001,E
07SB013,1,1983-01-25,0.001,E
07SB013,1,1983-01-26,0.001,E
07SB013,1,1983-01-27,0.002,E
07SB013,1,1983-01-28,0.002,E
07SB013,1,1983-01-29,0.003,E
07SB013,1,1983-01-30,0.003,E
07SB013,1,1983-01-31,0.004,E
07SB013,1,1983-02-01,0.004,E
07SB013,1,1983-02-02,0.005,E
07SB013,1,1983-02-03,0.006,E
07SB013,1,1983-02-04,0.007,E
07SB013,1,1983-02-05,0.008,E
07SB013,1,1983-02-06,0.01,E
07SB013,1,1983-02-07,0.012,E
07SB013,1,1983-02-08,0.014,E
07SB013,1,1983-02-09,0.016,E
07SB013,1,1983-02-10,0.018,E
07SB013,1,1983-02-11,0.021,E
07SB013,1,1983-02-12,0.022,E
07SB013,1,1983-02-13,0.024,E
07SB013,1,1983-02-14,0.026,E
07SB013,1,1983-02-15,0.028,E
07SB013,1,1983-02-16,0.03,E
07SB013,1,1983-02-17,0.033,E
07SB013,1,1983-02-18,0.036,E
07SB013,1,1983-02-19,0.039,E
07SB013,1,1983-02-20,0.043,E
07SB013,1,1983-02-21,0.048,E
07SB013,1,1983-02-22,0.052,E
07SB013,1,1983-02-23,0.057,E
07SB013,1,1983-02-24,0.061,E
07SB013,1,1983-02-25,0.065,E
07SB013,1,1983-02-26,0.066,E
07SB013,1,1983-02-27,0.068,E
07SB013,1,1983-02-28,0.07,E
07SB013,1,1983-03-01,0.074,E
07SB013,1,1983-03-02,0.075,E
07SB013,1,1983-03-03,0.077,E
07SB013,1,1983-03-04,0.078,E
07SB013,1,1983-03-05,0.079,E
07SB013,1,1983-03-06,0.079,E
07SB013,1,1983-03-07,0.078,E
07SB013,1,1983-03-08,0.076,E
07SB013,1,1983-03-09,0.073,E
07SB013,1,1983-03-10,0.07,E
07SB013,1,1983-03-11,0.066,E
07SB013,1,1983-03-12,0.063,E
07SB013,1,1983-03-13,0.059,E
07SB013,1,1983-03-14,0.056,E
07SB013,1,1983-03-15,0.053,E
07SB013,1,1983-03-16,0.051,E
07SB013,1,1983-03-17,0.051,E
07SB013,1,1983-03-18,0.05,E
07SB013,1,1983-03-19,0.05,E
07SB013,1,1983-03-20,0.049,E
07SB013,1,1983-03-21,0.049,E
07SB013,1,1983-03-22,0.049,E
07SB013,1,1983-03-23,0.049,E
07SB013,1,1983-03-24,0.048,E
07SB013,1,1983-03-25,0.048,E
07SB013,1,1983-03-26,0.048,E
07SB013,1,1983-03-27,0.048,E
07SB013,1,1983-03-28,0.048,E
07SB013,1,1983-03-29,0.048,E
07SB013,1,1983-03-30,0.047,E
07SB013,1,1983-03-31,0.047,E
07SB013,1,1983-04-01,0.047,E
07SB013,1,1983-04-02,0.047,E
07SB013,1,1983-04-03,0.047,E
07SB013,1,1983-04-04,0.047,E
07SB013,1,1983-04-05,0.047,E
07SB013,1,1983-04-06,0.047,E
07SB013,1,1983-04-07,0.047,E
07SB013,1,1983-04-08,0.048,E
07SB013,1,1983-04-09,0.048,E
07SB013,1,1983-04-10,0.048,E
07SB013,1,1983-04-11,0.048,E
07SB013,1,1983-04-12,0.048,E
07SB013,1,1983-04-13,0.049,E
07SB013,1,1983-04-14,0.049,E
07SB013,1,1983-04-15,0.049,E
07SB013,1,1983-04-16,0.049,E
07SB013,1,1983-04-17,0.05,E
07SB013,1,1983-04-18,0.05,E
07SB013,1,1983-04-19,0.051,E
07SB013,1,1983-04-20,0.052,E
07SB013,1,1983-04-21,0.053,E
07SB013,1,1983-04-22,0.054,E
07SB013,1,1983-04-23,0.055,E
07SB013,1,1983-04-24,0.056,E
07SB013,1,1983-04-25,0.057,E
07SB013,1,1983-04-26,0.058,E
07SB013,1,1983-04-27,0.059,E
07SB013,1,1983-04-28,0.06,E
07SB013,1,1983-04-29,0.061,E
07SB013,1,1983-04-30,0.062,E
07SB013,1,1983-05-01,0.064,E
07SB013,1,1983-05-02,0.065,E
07SB013,1,1983-05-03,0.066,E
07SB013,1,1983-05-04,0.067,E
07SB013,1,1983-05-05,0.068,E
07SB013,1,1983-05-06,0.07,E
07SB013,1,1983-05-07,0.071,E
07SB013,1,1983-05-08,0.072,E
07SB013,1,1983-05-09,0.074,E
07SB013,1,1983-05-10,0.076,E
07SB013,1,1983-05-11,0.078,E
07SB013,1,1983-05-12,0.08,E
07SB013,1,1983-05-13,0.082,E
07SB013,1,1983-05-14,0.084,E
07SB013,1,1983-05-15,0.087,E
07SB013,1,1983-05-16,0.09,E
07SB013,1,1983-05-17,0.094,A
07SB013,1,1983-05-18,0.1,E
07SB013,1,1983-05-19,0.105,E
07SB013,1,1983-05-20,0.11,E
07SB013,1,1983-05-21,0.117,E
07SB013,1,1983-05-22,0.127,E
07SB013,1,1983-05-23,0.139,E
07SB013,1,1983-05-24,0.151,E
07SB013,1,1983-05-25,0.165,E
07SB013,1,1983-05-26,0.18,E
07SB013,1,1983-05-27,0.198,E
07SB013,1,1983-05-28,0.22,E
07SB013,1,1983-05-29,0.25,E
07SB013,1,1983-05-30,0.285,A
07SB013,1,1983-05-31,0.345,E
07SB013,1,1983-06-01,0.39,A
07SB013,1,1983-06-02,0.42,E
07SB013,1,1983-06-03,0.44,E
07SB013,1,1983-06-04,0.47,E
07SB013,1,1983-06-05,0.5,E
07SB013,1,1983-06-06,0.536,A
07SB013,1,1983-06-07,0.617,
07SB013,1,1983-06-08,0.652,
07SB013,1,1983-06-09,0.648,
07SB013,1,1983-06-10,0.653,
07SB013,1,1983-06-11,0.659,
07SB013,1,1983-06-12,0.674,
07SB013,1,1983-06-13,0.684,
07SB013,1,1983-06-14,0.71,
07SB013,1,1983-06-15,0.764,
