           YEAR,            DAY,         PREACC,        EVAPACC,         ROFACC,        ROFOACC,        ROFSACC,        ROFBACC,        DSTGACC,            PRE,           EVAP,            ROF,           ROFO,           ROFS,           ROFB,          SNCAN,           RCAN,            SNO,           WSNO,           PNDW,          LQWS1,          FRWS1,          ALWS1,          LQWS2,          FRWS2,          ALWS2,          LQWS3,          FRWS3,          ALWS3,          LQWS4,          FRWS4,          ALWS4,           LQWS,           FRWS,           ALWS,            STG,           DSTG,
           2006,            258,  0.5144037E-01,   1.559447    ,   5.026382    ,  0.2364915E-02,  0.9156553E-03,   5.023102    ,  -33.90041    ,  0.5144037E-01,   1.559447    ,   5.026382    ,  0.2364915E-02,  0.9156553E-03,   5.023102    ,  0.1927278E-02,  0.3835859E-03,   0.000000    ,   0.000000    ,  0.6371806E-02,   73.21114    ,   0.000000    ,   73.21114    ,   139.9352    ,   0.000000    ,   139.9352    ,   183.5895    ,   0.000000    ,   183.5895    ,   340.5856    ,   4.032480    ,   344.6181    ,   737.3214    ,   4.032480    ,   741.3538    ,   741.3624    ,  -33.90047    ,
           2006,            259,  0.5146202E-01,   3.191127    ,   8.776311    ,  0.8087748E-02,  0.1550633E-02,   8.766669    ,  -37.00123    ,  0.2166480E-04,   1.631680    ,   3.749928    ,  0.5722833E-02,  0.6349771E-03,   3.743569    ,  0.1954184E-03,   0.000000    ,   0.000000    ,   0.000000    ,  0.8510526E-02,   71.25951    ,  0.3451976E-02,   71.26296    ,   136.6818    ,   0.000000    ,   136.6818    ,   182.1819    ,   0.000000    ,   182.1819    ,   341.1794    ,   3.845978    ,   345.0254    ,   731.3026    ,   3.849430    ,   735.1521    ,   735.1608    ,  -6.201574    ,
           2006,            260,  0.7571883E-01,   3.680145    ,   10.40248    ,  0.1399116E-01,  0.2132696E-02,   10.38636    ,  -39.21179    ,  0.2425679E-01,  0.4890191    ,   1.626171    ,  0.5903415E-02,  0.5820623E-03,   1.619686    ,  0.1168288E-03,  0.5900558E-03,   0.000000    ,   0.000000    ,  0.1137743E-01,   70.19650    ,   0.000000    ,   70.19650    ,   135.7887    ,   0.000000    ,   135.7887    ,   180.3931    ,   0.000000    ,   180.3931    ,   341.5815    ,   3.658349    ,   345.2399    ,   727.9598    ,   3.658349    ,   731.6182    ,   731.6302    ,  -3.530573    ,
           2006,            261,  0.7573854E-01,   4.665801    ,   11.58011    ,  0.2236859E-01,  0.2620432E-02,   11.55512    ,  -40.83437    ,  0.1972080E-04,  0.9856562    ,   1.177623    ,  0.8377432E-02,  0.4877359E-03,   1.168758    ,  0.2664231E-02,  0.6364648E-03,   0.000000    ,   0.000000    ,  0.1393923E-01,   69.42443    ,   0.000000    ,   69.42443    ,   135.5676    ,   0.000000    ,   135.5676    ,   179.4163    ,   0.000000    ,   179.4163    ,   341.6556    ,   3.479438    ,   345.1350    ,   726.0640    ,   3.479438    ,   729.5434    ,   729.5607    ,  -2.069636    ,
           2006,            262,  0.7573854E-01,   5.945781    ,   12.59434    ,  0.2241856E-01,  0.3071356E-02,   12.56885    ,  -42.24688    ,   0.000000    ,   1.279979    ,   1.014233    ,  0.4996830E-04,  0.4509256E-03,   1.013732    ,  0.1092219E-04,  0.1595820E-03,   0.000000    ,   0.000000    ,  0.1084385E-01,   68.46258    ,   0.000000    ,   68.46258    ,   135.2209    ,   0.000000    ,   135.2209    ,   178.6208    ,   0.000000    ,   178.6208    ,   341.7486    ,   3.302052    ,   345.0506    ,   724.0528    ,   3.302052    ,   727.3549    ,   727.3658    ,  -2.194823    ,
           2006,            263,  0.3349745    ,   7.070144    ,   13.52566    ,  0.2550564E-01,  0.3462462E-02,   13.49669    ,  -43.54226    ,  0.2592360    ,   1.124364    ,  0.9313193    ,  0.3087075E-02,  0.3911090E-03,  0.9278411    ,  0.8540957E-03,  0.6204888E-02,   0.000000    ,   0.000000    ,  0.2750363E-01,   67.44171    ,   0.000000    ,   67.44171    ,   134.9567    ,   0.000000    ,   134.9567    ,   177.9426    ,   0.000000    ,   177.9426    ,   341.7366    ,   3.131129    ,   344.8677    ,   722.0776    ,   3.131129    ,   725.2087    ,   725.2433    ,  -2.122545    ,
           2006,            264,  0.4351626    ,   7.787664    ,   14.40088    ,  0.2550564E-01,  0.3855868E-02,   14.37151    ,  -44.69172    ,  0.1001880    ,  0.7175193    ,  0.8752181    ,   0.000000    ,  0.3934096E-03,  0.8748249    ,   0.000000    ,  0.1620440E-01,   0.000000    ,   0.000000    ,  0.7231221E-01,   66.70509    ,   0.000000    ,   66.70509    ,   134.9878    ,   0.000000    ,   134.9878    ,   177.3432    ,   0.000000    ,   177.3432    ,   341.5903    ,   2.959008    ,   344.5493    ,   720.6263    ,   2.959008    ,   723.5853    ,   723.6738    ,  -1.569460    ,
           2006,            265,   1.381278    ,   8.761480    ,   15.23784    ,  0.2667491E-01,  0.4263077E-02,   15.20690    ,  -45.73679    ,  0.9461158    ,  0.9738163    ,  0.8369602    ,  0.1169273E-02,  0.4072135E-03,  0.8353837    ,  0.5368125E-03,  0.5306364E-01,   0.000000    ,   0.000000    ,  0.1178848    ,   66.04501    ,   0.000000    ,   66.04501    ,   134.9072    ,   0.000000    ,   134.9072    ,   176.8788    ,   0.000000    ,   176.8788    ,   341.4230    ,   2.784730    ,   344.2077    ,   719.2540    ,   2.784730    ,   722.0388    ,   722.2103    ,  -1.463571    ,
           2006,            266,   2.054359    ,   11.05512    ,   16.03787    ,  0.2667883E-01,  0.4667988E-02,   16.00653    ,  -46.68951    ,  0.6730813    ,   2.293637    ,  0.8000368    ,  0.3919871E-05,  0.4049129E-03,  0.7996278    ,   0.000000    ,  0.9779504E-01,   0.000000    ,   0.000000    ,  0.3466296    ,   65.49012    ,   0.000000    ,   65.49012    ,   134.7473    ,   0.000000    ,   134.7473    ,   176.4412    ,   0.000000    ,   176.4412    ,   341.2206    ,   2.608734    ,   343.8293    ,   717.8992    ,   2.608734    ,   720.5079    ,   720.9523    ,  -1.257918    ,
           2006,            267,   3.441784    ,   12.29874    ,   16.81059    ,  0.2887203E-01,  0.5077507E-02,   16.77665    ,  -47.60234    ,   1.387421    ,   1.243629    ,  0.7727178    ,  0.2193196E-02,  0.4095141E-03,  0.7701151    ,  0.2480028E-03,  0.6994586E-01,  0.1370683E-02,  0.9997033E-08,  0.2170637    ,   65.08287    ,   0.000000    ,   65.08287    ,   134.5822    ,   0.000000    ,   134.5822    ,   176.0473    ,   0.000000    ,   176.0473    ,   341.0114    ,   2.430332    ,   343.4417    ,   716.7238    ,   2.430332    ,   719.1541    ,   719.4426    ,  -1.509715    ,
           2006,            268,   3.682520    ,   13.18508    ,   17.56042    ,  0.2889523E-01,  0.5470921E-02,   17.52606    ,  -48.44860    ,  0.2407356    ,  0.8863327    ,  0.7498344    ,  0.2320245E-04,  0.3934097E-03,  0.7494178    ,  0.2262757E-03,  0.5302684E-01,  0.4361833E-01,  0.9283459E-06,  0.1413887    ,   64.85860    ,   0.000000    ,   64.85860    ,   134.4390    ,   0.000000    ,   134.4390    ,   175.7730    ,   0.000000    ,   175.7730    ,   340.7969    ,   2.246794    ,   343.0437    ,   715.8676    ,   2.246794    ,   718.1143    ,   718.3527    ,  -1.089934    ,
